T,D,set,DD,GD,B
2008-02-03,33.0,training,23.0,203.86971130371148,0
2008-02-03,33.0,training,23.0,203.86971130371148,0
2008-02-03,33.0,test,23.0,237.75266113281305,0
2008-02-03,33.0,test,23.0,175.31412980502247,0
2008-02-03,33.0,training,23.0,203.86971130371148,0
2008-02-10,40.0,training,30.0,181.1393279941553,0
2008-02-10,40.0,training,30.0,170.66595638958867,0
2008-02-10,40.0,test,30.0,181.1393279941553,0
2008-02-10,40.0,training,30.0,181.1393279941553,0
2008-02-10,40.0,training,30.0,276.3630310058601,0
2008-02-10,40.0,training,30.0,312.032937622071,0
2008-02-10,40.0,training,30.0,312.032937622071,0
2008-02-10,40.0,training,30.0,209.2987868570996,0
2008-02-17,47.0,test,37.0,269.8471688376937,0
2008-02-17,47.0,test,37.0,273.2452986628598,0
2008-02-17,47.0,training,37.0,265.3149923277996,0
2008-02-17,47.0,test,37.0,334.26289062500086,0
2008-02-17,47.0,training,37.0,293.28410686597664,0
2008-02-17,47.0,test,37.0,273.2452986628598,0
2008-02-17,47.0,test,37.0,265.3149923277996,0
2008-02-24,54.0,training,44.0,384.9080657958994,0
2008-02-24,54.0,training,44.0,443.29505920410264,0
2008-02-24,54.0,test,44.0,296.5176067965657,0
2008-02-24,54.0,test,44.0,384.9080657958994,0
2008-02-24,54.0,test,44.0,242.3957361404448,1
2008-03-09,68.0,test,58.0,405.73227468128715,0
2008-03-09,68.0,training,58.0,388.7152168359814,0
2008-03-09,68.0,training,58.0,323.4757642619616,0
2008-03-09,68.0,test,58.0,502.90865173339984,1
2008-03-09,68.0,training,58.0,440.2823684410039,1
2008-03-09,68.0,test,58.0,388.7152168359814,0
2008-03-16,75.0,training,65.0,591.8830073678654,3
2008-03-16,75.0,test,65.0,475.420932748384,1
2008-03-16,75.0,training,65.0,458.882841670367,1
2008-03-16,75.0,training,65.0,458.882841670367,1
2008-03-16,75.0,training,65.0,648.9456726074234,4
2008-03-16,75.0,test,65.0,572.905297851564,3
2008-03-16,75.0,training,65.0,475.420932748384,1
2008-03-16,75.0,test,65.0,572.905297851564,3
2008-03-16,75.0,training,65.0,661.6786590576187,3
2008-03-16,75.0,training,65.0,661.6786590576187,3
2008-03-23,82.0,test,72.0,432.4743068125792,2
2008-03-23,82.0,training,72.0,418.42658540008074,2
2008-03-23,82.0,training,72.0,571.5567886070197,1
2008-03-23,82.0,training,72.0,432.4743068125792,1
2008-03-23,82.0,training,72.0,432.4743068125792,2
2008-03-23,82.0,training,72.0,642.6097686767595,2
2008-03-30,89.0,training,79.0,576.9266517725052,3
2008-03-30,89.0,training,79.0,737.7433345163032,4
2008-03-30,89.0,training,79.0,493.2131732927086,3
2008-03-30,89.0,test,79.0,800.7471313476581,4
2008-03-30,89.0,training,79.0,719.3113861084003,3
2008-03-30,89.0,training,79.0,605.8883202135141,3
2008-03-30,89.0,training,79.0,818.9168548584003,4
2008-03-30,89.0,training,79.0,818.9168548584003,4
2008-03-30,89.0,test,79.0,610.8626502776813,2
2008-03-30,89.0,training,79.0,480.7235303752433,3
2008-03-30,89.0,training,79.0,589.5192918656797,2
2008-03-30,89.0,training,79.0,589.5192918656797,2
2008-03-30,89.0,training,79.0,610.8626502776813,2
2008-03-30,89.0,training,79.0,576.9266517725052,3
2008-03-30,89.0,test,79.0,719.3113861084003,4
2008-04-06,96.0,training,86.0,511.8690938718783,3
2008-04-06,96.0,test,86.0,782.3881408691426,4
2008-04-06,96.0,training,86.0,527.9423564953469,2
2008-04-06,96.0,training,86.0,653.1938958527481,4
2008-04-06,96.0,training,86.0,527.9423564953469,2
2008-04-06,96.0,training,86.0,700.7282577232312,2
2008-04-13,103.0,test,93.0,866.6026519775412,5
2008-04-13,103.0,test,93.0,883.7999049508737,5
2008-04-13,103.0,training,93.0,866.6026519775412,5
